id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,MagicRating
27482148,Amsterdam Woning,88830713,Kari,NA,Noord-West,52.40796,4.92509,Entire home/apt,130,3,8,2020-08-08,0.28,1,134,High
27482691,Ruimtelijk app. op rustige en centrale toplocatie,207117971,Sanna,NA,De Pijp - Rivierenbuurt,52.34409,4.90956,Entire home/apt,120,3,0,NA,NA,1,0,Low
27486295,Cosy bedroom in authentic Amsterdam apartment.,844125,Mark,NA,De Baarsjes - Oud-West,52.36782,4.85427,Private room,45,3,5,2018-10-19,0.18,1,0,Low
27489144,adventurous boat in centre of Amsterdam,9496677,Anne,NA,Centrum-Oost,52.36195,4.90977,Entire home/apt,70,4,16,2019-09-29,0.56,2,140,Low
27490952,"Cozy apartment, 15 minutes to city center by metro",207190390,David,NA,Bijlmer-Oost,52.32253,4.9738,Entire home/apt,84,3,2,2018-08-27,0.07,1,0,Low
27498255,Luxury apartment in city center,36565286,Kim,NA,Centrum-Oost,52.36941,4.90931,Entire home/apt,300,1,6,2019-12-27,0.22,1,0,High
27498578,Amstel escape,7112490,Margreet,NA,Centrum-Oost,52.36271,4.90459,Entire home/apt,150,3,11,2019-07-07,0.41,1,0,High
27498593,"Light, industrial apartment in trendy East-A'dam",17643881,Lisa,NA,Oostelijk Havengebied - Indische Buurt,52.36556,4.93272,Entire home/apt,120,5,1,2018-08-26,0.04,1,0,Low
27498797,Bright clean apartment with Amazing waterviews,204510358,Joost,NA,De Pijp - Rivierenbuurt,52.34824,4.89706,Entire home/apt,125,2,22,2019-06-30,0.8,2,0,Low
27499761,New apartment at best location of Amsterdam,8211862,Coen,NA,Oud-Oost,52.35508,4.91267,Entire home/apt,110,2,2,2018-10-21,0.07,1,0,Low
27500130,Amsterdam Studio Deluxe in West side,194732554,Saeed,NA,De Aker - Nieuw Sloten,52.34595,4.81715,Entire home/apt,85,3,2,2019-06-26,0.11,1,0,Low
27500194,2 bedroom apartment Amsterdam west,14901491,Sijbren,NA,Bos en Lommer,52.37923,4.85472,Entire home/apt,225,2,0,NA,NA,1,0,High
27500507,Luxurious home at harbour of Amsterdam,52594009,Talha,NA,Oostelijk Havengebied - Indische Buurt,52.36847,4.95345,Entire home/apt,91,14,0,NA,NA,1,0,Low
27506311,Charming historic house in the city center,4580409,Samantha,NA,Centrum-Oost,52.36317,4.89832,Entire home/apt,185,4,16,2020-01-03,0.59,1,0,High
27514386,2-kamer appartement in het hart van Amsterdam,40324153,Linde,NA,Westerpark,52.3884,4.88558,Entire home/apt,130,1,2,2018-10-20,0.07,1,0,High
27515540,Large furnished apartment in Amsterdam South,789334,Jefferson,NA,Buitenveldert - Zuidas,52.33438,4.87533,Entire home/apt,150,4,0,NA,NA,1,0,High
27516765,Furnished apartment (74M2) with backyard in Adam,24314617,Jorim,NA,Bijlmer-Centrum,52.30969,4.95782,Entire home/apt,70,14,0,NA,NA,1,0,Low
27519911,Beautiful apartment with garden @ Amsterdam South,179369941,Elisabeth,NA,Zuid,52.34665,4.84824,Entire home/apt,215,2,10,2020-02-03,0.35,1,0,High
27520015,Brand new studio apartment with vintage look,73081474,Tessa,NA,Oud-Oost,52.35753,4.93466,Entire home/apt,112,3,10,2020-02-16,0.35,1,0,Low
27520055,Family/city- Apartment 10 min from central station,64868869,Julian,NA,Oostelijk Havengebied - Indische Buurt,52.37098,4.93559,Entire home/apt,140,2,6,2020-02-09,0.21,1,0,High
27520959,Bright and spacious apartment in Amsterdam,207551563,Jan-Jelle,NA,De Pijp - Rivierenbuurt,52.34251,4.9078,Entire home/apt,145,3,0,NA,NA,1,0,High
27523926,Complete apartment-taking care of our cat required,16831042,Bastiaan,NA,De Baarsjes - Oud-West,52.36538,4.86816,Entire home/apt,68,4,4,2019-09-21,0.14,1,0,Low
27525864,New & spacious ground-floor 3-BR home w/ garden!,207546297,Laurens,NA,Oud-Oost,52.36286,4.9257,Entire home/apt,400,4,12,2020-08-03,0.43,1,0,High
27525917,Cosy Modern Apartment | Patio |,65859990,Martijn,NA,Zuid,52.34832,4.85019,Entire home/apt,134,2,3,2019-09-23,0.11,81,0,High
27527221,Unforgetable Charming Apartment | Patio |,65859990,Martijn,NA,Zuid,52.35061,4.85348,Entire home/apt,270,2,7,2019-04-25,0.26,81,0,High
27532577,Modern appartment at walking distance from centre,10503334,Caspar,NA,Westerpark,52.37404,4.8685600000000004,Entire home/apt,150,4,37,2020-08-04,1.3,1,0,High
27533135,Private apt close to Vondelpark! Ideal for couples,6683167,Nick,NA,Zuid,52.35048,4.84918,Entire home/apt,100,3,9,2019-08-12,0.32,1,0,Low
27534459,N0.One,47873588,Lukas,NA,Centrum-West,52.3727,4.88305,Private room,116,2,8,2019-09-27,0.29,1,0,Low
